,Iteration,Fitness,FEvals,Time,State,Restarts,max_iters,current_restart
85,500,521.0,12009,41.22618689999945,"[4, 2, 12, 21, 4, 18, 9, 32, 14, 29, 17, 10, 1, 5, 30, 30, 27, 13, 24, 0, 5, 16, 31, 6, 32, 22, 28, 7, 26, 23, 3, 15, 11]",50,500,31
86,0,506.0,12009,41.320722399999795,"[2, 23, 28, 9, 28, 21, 17, 15, 29, 24, 8, 11, 13, 28, 26, 4, 8, 30, 32, 17, 7, 9, 22, 8, 5, 16, 9, 31, 27, 26, 15, 3, 22]",50,500,32
87,500,521.0,12419,44.26475479999863,"[2, 10, 1, 6, 14, 21, 17, 25, 29, 24, 27, 11, 13, 7, 26, 4, 8, 30, 32, 17, 7, 9, 18, 5, 5, 16, 9, 31, 23, 26, 15, 3, 22]",50,500,32
88,0,484.0,12419,44.35556120000001,"[19, 15, 3, 29, 19, 4, 5, 4, 11, 28, 9, 22, 31, 10, 22, 30, 17, 30, 9, 25, 18, 18, 26, 9, 10, 10, 24, 5, 8, 26, 22, 4, 21]",50,500,33
89,500,524.0,12855,47.15073549999943,"[28, 13, 3, 27, 19, 21, 5, 1, 11, 6, 12, 14, 31, 18, 32, 2, 23, 30, 9, 25, 13, 17, 26, 7, 10, 20, 24, 15, 8, 29, 22, 4, 21]",50,500,33
90,0,485.0,12855,47.248519699998724,"[22, 31, 8, 8, 18, 9, 9, 27, 22, 5, 11, 2, 24, 23, 18, 6, 17, 23, 22, 5, 16, 4, 6, 6, 28, 16, 14, 12, 9, 32, 8, 26, 20]",50,500,34
91,500,520.0,13163,49.50162949999867,"[1, 31, 11, 8, 18, 16, 9, 27, 15, 11, 25, 8, 24, 3, 13, 2, 17, 23, 10, 7, 14, 4, 28, 19, 32, 29, 5, 12, 9, 18, 30, 26, 20]",50,500,34
92,0,490.0,13163,49.60145620000003,"[13, 8, 25, 24, 5, 24, 28, 32, 2, 25, 12, 11, 25, 12, 13, 10, 12, 3, 31, 4, 31, 29, 6, 7, 25, 15, 24, 20, 13, 6, 2, 23, 13]",50,500,35
93,500,521.0,13476,51.84363359999952,"[18, 9, 30, 26, 5, 29, 28, 32, 11, 19, 14, 11, 21, 8, 13, 1, 10, 3, 31, 4, 31, 17, 27, 7, 12, 15, 24, 20, 25, 6, 2, 23, 16]",50,500,35
94,0,495.0,13476,51.94034169999941,"[25, 30, 0, 23, 17, 32, 25, 19, 28, 6, 13, 6, 2, 28, 25, 2, 17, 5, 26, 2, 6, 26, 22, 3, 9, 14, 3, 9, 31, 22, 22, 7, 24]",50,500,36
95,500,523.0,13955,55.44531040000038,"[25, 30, 0, 23, 17, 32, 12, 16, 27, 8, 1, 21, 2, 7, 28, 19, 11, 5, 20, 15, 4, 26, 22, 6, 9, 14, 3, 9, 31, 1, 11, 18, 24]",50,500,36
96,0,505.0,13955,55.55333679999967,"[17, 28, 21, 1, 12, 1, 22, 4, 15, 18, 8, 10, 23, 16, 28, 17, 28, 26, 10, 29, 2, 14, 21, 2, 14, 29, 9, 7, 0, 24, 15, 32, 5]",50,500,37
97,500,522.0,14298,58.10548860000017,"[17, 8, 21, 1, 12, 27, 22, 4, 31, 18, 0, 10, 3, 16, 19, 9, 28, 25, 2, 29, 6, 14, 11, 2, 26, 29, 4, 7, 15, 24, 15, 32, 5]",50,500,37
98,0,501.0,14298,58.210949999998775,"[30, 14, 25, 16, 9, 12, 26, 1, 31, 5, 29, 9, 0, 8, 21, 14, 18, 16, 3, 8, 12, 24, 16, 5, 30, 29, 31, 23, 27, 22, 6, 6, 13]",50,500,38
99,500,521.0,14781,61.9176152,"[30, 14, 25, 19, 9, 15, 1, 26, 17, 2, 7, 32, 0, 4, 21, 14, 18, 25, 3, 20, 12, 24, 16, 5, 7, 29, 31, 23, 28, 22, 10, 6, 13]",50,500,38
100,0,495.0,14781,62.04581340000004,"[26, 0, 14, 16, 17, 18, 24, 22, 3, 14, 29, 25, 25, 13, 29, 17, 17, 9, 26, 3, 5, 9, 2, 20, 5, 16, 16, 8, 22, 20, 28, 15, 8]",50,500,39
101,500,520.0,15103,64.53413769999861,"[27, 0, 14, 31, 29, 19, 24, 22, 3, 14, 29, 4, 25, 23, 18, 17, 32, 9, 26, 26, 5, 10, 2, 20, 11, 13, 16, 8, 22, 12, 28, 15, 8]",50,500,39
